"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Mar-2023","EQ","495.45","498.50","486.85","492.95","490.95","489.70","492.12","620.60","457.80",2494157,"1,227,430,786.50",56925
"27-Mar-2023","EQ","486.65","499.45","486.65","492.25","492.40","492.95","494.99","620.60","457.80",2412510,"1,194,161,315.30",70548
"24-Mar-2023","EQ","494.50","501.90","481.60","498.55","491.30","492.25","491.59","620.60","457.80",6424544,"3,158,214,308.00",132853
"23-Mar-2023","EQ","497.45","505.00","494.15","497.45","498.20","498.55","500.51","620.60","457.80",4489138,"2,246,880,829.45",73912
"22-Mar-2023","EQ","483.00","498.50","483.00","482.75","497.00","497.45","494.49","620.60","457.80",5604187,"2,771,190,884.15",119082
"21-Mar-2023","EQ","467.00","484.00","466.50","465.25","483.00","482.75","479.51","620.60","457.80",4363583,"2,092,398,535.30",134282
"20-Mar-2023","EQ","470.00","471.40","458.10","471.25","465.50","465.25","462.14","620.60","457.80",3937830,"1,819,832,465.85",100216
"17-Mar-2023","EQ","464.05","477.30","464.00","461.40","471.95","471.25","471.67","620.60","457.80",7640040,"3,603,582,165.85",141022
"16-Mar-2023","EQ","466.70","469.00","457.80","466.70","462.00","461.40","464.00","620.60","457.80",6790599,"3,150,834,657.45",132573
"15-Mar-2023","EQ","473.05","478.45","465.10","470.55","466.15","466.70","470.68","620.60","465.10",6095528,"2,869,040,776.50",93960
"14-Mar-2023","EQ","480.45","485.35","468.75","478.95","471.10","470.55","473.95","620.60","468.75",8530038,"4,042,813,003.75",128543
"13-Mar-2023","EQ","490.00","495.50","477.30","490.25","479.50","478.95","485.53","620.60","473.70",2849642,"1,383,574,354.20",93591
"10-Mar-2023","EQ","487.55","491.15","484.20","491.25","490.50","490.25","488.05","620.60","473.70",2383642,"1,163,325,221.35",90362
"09-Mar-2023","EQ","495.00","496.60","490.00","495.20","490.10","491.25","492.81","620.60","473.70",2336282,"1,151,343,634.85",78140
"08-Mar-2023","EQ","490.00","496.35","488.00","490.15","494.60","495.20","491.39","620.60","473.70",5589817,"2,746,753,795.65",85402
