"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Mar-2023","EQ","393.00","399.80","391.75","389.95","392.95","392.90","395.18","636.00","308.95",6424209,"2,538,740,694.60",70293
"27-Mar-2023","EQ","390.00","396.60","389.40","388.40","389.55","389.95","392.80","636.00","308.95",7066058,"2,775,521,149.05",86069
"24-Mar-2023","EQ","400.80","401.00","386.15","398.80","388.00","388.40","391.44","636.00","308.95",8833099,"3,457,584,852.85",86717
"23-Mar-2023","EQ","387.00","400.65","386.00","392.75","398.60","398.80","397.07","636.00","308.95",10453779,"4,150,859,824.00",92029
"22-Mar-2023","EQ","390.10","396.75","388.25","388.55","392.25","392.75","393.07","636.00","308.95",6511605,"2,559,489,239.75",98949
"21-Mar-2023","EQ","387.70","390.60","384.95","385.75","388.30","388.55","387.32","636.00","308.95",6080002,"2,354,922,361.20",91870
"20-Mar-2023","EQ","393.75","394.05","381.00","396.70","386.25","385.75","385.42","636.00","308.95",6331283,"2,440,194,585.30",87755
"17-Mar-2023","EQ","389.25","398.05","386.55","384.95","396.25","396.70","392.94","636.00","308.95",9861244,"3,874,909,589.55",93479
"16-Mar-2023","EQ","400.60","400.85","383.10","406.15","385.50","384.95","387.07","636.00","308.95",16739755,"6,479,511,813.40",203714
"15-Mar-2023","EQ","407.95","412.75","405.00","402.70","405.15","406.15","408.71","636.00","308.95",5681268,"2,321,985,314.50",62659
"14-Mar-2023","EQ","404.30","407.95","399.45","402.25","403.60","402.70","403.30","636.00","308.95",5841181,"2,355,743,987.00",81736
"13-Mar-2023","EQ","409.00","414.95","398.50","405.65","403.80","402.25","406.22","636.00","308.95",5962595,"2,422,120,999.25",76984
"10-Mar-2023","EQ","403.00","409.50","395.40","408.85","406.20","405.65","404.89","636.00","308.95",5239128,"2,121,251,166.90",69010
"09-Mar-2023","EQ","411.00","418.50","408.00","407.75","408.85","408.85","412.73","636.00","308.95",6982179,"2,881,786,557.70",86825
"08-Mar-2023","EQ","409.95","409.95","396.10","414.50","408.75","407.75","405.54","636.00","308.95",7044653,"2,856,882,943.30",88360
"06-Mar-2023","EQ","419.00","422.20","413.90","416.90","414.50","414.50","417.25","636.00","308.95",5071598,"2,116,126,107.25",74017
"03-Mar-2023","EQ","413.20","419.35","412.20","410.80","418.50","416.90","416.11","636.00","308.95",5102333,"2,123,134,572.90",60197
"02-Mar-2023","EQ","415.00","416.80","408.00","413.05","410.45","410.80","411.39","636.00","308.95",4804013,"1,976,312,258.20",74037
"01-Mar-2023","EQ","402.00","414.90","401.65","399.20","413.90","413.05","410.99","636.00","308.95",7935816,"3,261,514,824.80",130191
"28-Feb-2023","EQ","413.50","413.90","398.00","411.80","399.45","399.20","401.71","636.00","308.95",12174759,"4,890,761,949.15",127358
"27-Feb-2023","EQ","415.00","415.00","401.50","415.25","412.00","411.80","407.33","636.00","308.95",8301373,"3,381,405,567.25",114227
"24-Feb-2023","EQ","438.00","438.00","414.25","436.45","415.85","415.25","419.46","636.00","308.95",10814032,"4,536,059,569.75",131427
"23-Feb-2023","EQ","430.40","438.50","430.10","429.70","437.40","436.45","434.50","636.00","308.95",5037774,"2,188,911,276.05",74437
"22-Feb-2023","EQ","430.50","434.50","426.75","431.50","429.50","429.70","431.17","636.00","308.95",5276939,"2,275,233,470.35",64063
"21-Feb-2023","EQ","437.75","438.30","430.00","434.25","432.00","431.50","434.27","636.00","308.95",3761409,"1,633,455,866.05",69596
"20-Feb-2023","EQ","429.90","435.55","429.00","429.50","433.50","434.25","432.79","636.00","308.95",3749802,"1,622,875,751.20",54690
"17-Feb-2023","EQ","434.75","438.00","426.60","434.70","430.00","429.50","431.99","636.00","308.95",4014137,"1,734,081,409.15",55028
"16-Feb-2023","EQ","436.90","438.00","433.00","433.95","434.75","434.70","435.18","636.00","308.95",4282249,"1,863,546,751.00",68119
"15-Feb-2023","EQ","435.50","437.25","430.60","434.80","433.80","433.95","433.97","636.00","308.95",3623450,"1,572,460,444.25",59269
"14-Feb-2023","EQ","429.50","435.25","425.35","427.70","435.00","434.80","431.32","636.00","308.95",3951666,"1,704,438,993.55",64140
"13-Feb-2023","EQ","434.50","439.80","426.55","433.15","427.70","427.70","431.92","636.00","308.95",6437475,"2,780,484,516.05",78611
"10-Feb-2023","EQ","444.55","444.95","431.00","444.55","433.80","433.15","434.81","636.00","308.95",6648361,"2,890,744,622.55",83928
"09-Feb-2023","EQ","437.00","447.70","431.75","436.50","446.10","444.55","439.73","636.00","308.95",11431814,"5,026,885,774.05",125967
"08-Feb-2023","EQ","432.00","439.80","432.00","429.55","435.50","436.50","436.03","636.00","308.95",6121515,"2,669,182,674.20",92093
"07-Feb-2023","EQ","440.00","441.90","425.50","447.35","429.35","429.55","431.38","636.00","308.95",16652967,"7,183,789,348.15",244636
"06-Feb-2023","EQ","457.00","457.00","446.00","459.65","446.75","447.35","450.27","636.00","308.95",4398369,"1,980,462,766.10",64940
"03-Feb-2023","EQ","467.75","468.95","450.20","465.40","458.50","459.65","457.56","636.00","308.95",5707642,"2,611,599,177.40",82161
"02-Feb-2023","EQ","467.00","471.00","460.80","467.85","466.00","465.40","465.96","636.00","308.95",3356544,"1,564,025,591.65",70308
"01-Feb-2023","EQ","473.00","480.60","454.60","468.40","467.60","467.85","472.15","636.00","308.95",6075062,"2,868,331,086.75",93318
"31-Jan-2023","EQ","474.95","476.35","465.50","472.35","469.00","468.40","470.78","636.00","308.95",5679604,"2,673,862,417.80",91024
"30-Jan-2023","EQ","479.00","483.35","463.95","479.00","471.70","472.35","470.94","636.00","308.95",5804476,"2,733,546,595.70",86991
"27-Jan-2023","EQ","493.50","494.80","467.95","489.10","479.00","479.00","480.67","636.00","308.95",4591590,"2,207,027,519.60",75669
"25-Jan-2023","EQ","484.10","495.80","484.10","484.65","489.00","489.10","489.52","636.00","308.95",7341066,"3,593,602,539.70",111236
"24-Jan-2023","EQ","496.70","497.90","483.55","494.20","484.05","484.65","488.84","636.00","308.95",3293586,"1,610,027,555.95",70599
"23-Jan-2023","EQ","494.00","500.35","491.20","489.95","493.45","494.20","496.15","636.00","308.95",5559031,"2,758,124,719.80",74009
"20-Jan-2023","EQ","498.00","501.55","488.25","498.90","490.50","489.95","494.83","636.00","308.95",5664588,"2,803,002,342.95",66777
"19-Jan-2023","EQ","493.15","503.00","491.00","502.95","498.80","498.90","498.10","636.00","308.95",7945795,"3,957,809,999.00",107718
"18-Jan-2023","EQ","488.50","504.00","488.50","487.90","502.20","502.95","498.46","636.00","308.95",12045667,"6,004,244,923.65",152628
"17-Jan-2023","EQ","481.75","489.30","476.95","483.05","487.30","487.90","483.61","636.00","308.95",7819426,"3,781,551,071.80",92103
"16-Jan-2023","EQ","490.95","492.70","481.25","488.50","483.00","483.05","484.64","636.00","308.95",3294109,"1,596,450,369.30",55779
"13-Jan-2023","EQ","487.65","490.00","482.65","485.65","487.45","488.50","487.04","636.00","308.95",7445162,"3,626,080,066.40",80425
"12-Jan-2023","EQ","495.00","495.60","482.20","490.95","485.50","485.65","485.98","636.00","308.95",7278634,"3,537,278,671.00",79902
"11-Jan-2023","EQ","481.90","493.45","481.00","477.55","490.80","490.95","488.17","636.00","308.95",11383752,"5,557,262,802.40",125754
"10-Jan-2023","EQ","478.00","480.50","473.30","470.75","477.25","477.55","476.71","636.00","308.95",7092319,"3,380,997,195.50",88442
"09-Jan-2023","EQ","471.00","474.00","466.20","462.65","470.00","470.75","470.83","636.00","308.95",6047398,"2,847,317,393.65",103836
"06-Jan-2023","EQ","467.00","474.00","461.10","465.70","463.95","462.65","467.41","636.00","308.95",6004013,"2,806,351,920.80",75800
"05-Jan-2023","EQ","463.25","467.45","458.65","461.50","465.20","465.70","463.31","636.00","308.95",7087634,"3,283,767,407.30",86673
"04-Jan-2023","EQ","477.00","477.45","460.00","479.90","460.45","461.50","465.13","636.00","308.95",9899885,"4,604,696,461.95",118644
"03-Jan-2023","EQ","486.50","488.45","478.50","487.05","478.75","479.90","483.36","636.00","308.95",5906501,"2,854,947,436.90",73113
"02-Jan-2023","EQ","475.95","491.00","475.15","473.35","486.50","487.05","485.89","636.00","308.95",11255811,"5,469,070,952.55",157286
"30-Dec-2022","EQ","473.95","482.30","471.80","469.90","473.75","473.35","477.08","636.00","308.95",8024424,"3,828,287,441.65",82377
"29-Dec-2022","EQ","459.30","472.20","455.25","465.95","471.70","469.90","462.79","636.00","308.95",8427104,"3,899,951,556.35",90928
"28-Dec-2022","EQ","467.65","473.70","463.95","471.00","466.20","465.95","468.45","636.00","308.95",7519133,"3,522,314,968.35",94157
"27-Dec-2022","EQ","447.95","472.40","446.75","442.95","470.00","471.00","462.97","636.00","308.95",13898138,"6,434,442,120.40",161148
"26-Dec-2022","EQ","431.00","445.40","429.10","429.55","442.40","442.95","440.19","636.00","308.95",3939359,"1,734,082,792.05",46917
"23-Dec-2022","EQ","452.90","452.90","427.60","455.50","432.00","429.55","437.71","636.00","308.95",7766201,"3,399,325,193.50",87706
