"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Mar-2023","EQ","102.85","103.10","102.35","102.30","102.60","102.50","102.66","1,386.70","95.00",18703734,"1,920,212,067.45",119164
"27-Mar-2023","EQ","102.55","103.40","102.10","102.10","102.30","102.30","102.63","1,386.70","95.00",24753289,"2,540,528,569.55",149006
"24-Mar-2023","EQ","105.00","105.05","101.55","104.90","102.05","102.10","103.10","1,386.70","95.00",39014278,"4,022,377,160.10",241782
"23-Mar-2023","EQ","104.40","105.50","104.35","104.80","105.00","104.90","105.06","1,386.70","95.00",20913844,"2,197,143,347.90",114789
"22-Mar-2023","EQ","104.75","105.95","104.40","104.75","104.95","104.80","105.21","1,386.70","95.00",25891259,"2,724,080,059.55",105023
"21-Mar-2023","EQ","105.10","105.40","104.30","104.50","104.80","104.75","104.71","1,386.70","95.00",26434897,"2,768,091,153.40",142994
"20-Mar-2023","EQ","106.10","106.45","103.85","107.00","104.50","104.50","104.71","1,386.70","95.00",41569640,"4,352,603,949.85",182679
"17-Mar-2023","EQ","106.45","107.35","105.00","105.05","107.15","107.00","106.25","1,386.70","95.00",48962238,"5,202,472,538.40",165069
"16-Mar-2023","EQ","107.25","107.25","103.70","108.65","105.30","105.05","104.83","1,386.70","95.00",81088340,"8,500,165,789.10",276188
"15-Mar-2023","EQ","107.50","109.15","107.40","106.40","108.70","108.65","108.53","1,386.70","95.00",38930902,"4,225,315,557.85",150243
"14-Mar-2023","EQ","107.00","108.55","106.20","106.80","106.55","106.40","107.38","1,386.70","95.00",48584984,"5,217,199,866.90",166949
"13-Mar-2023","EQ","108.25","109.00","106.35","108.10","107.15","106.80","107.66","1,386.70","95.00",34552596,"3,720,063,116.85",143686
"10-Mar-2023","EQ","107.00","108.35","106.60","108.20","108.15","108.10","107.74","1,386.70","95.00",47699832,"5,138,944,228.45",154176
"09-Mar-2023","EQ","107.85","108.95","107.50","106.50","108.20","108.20","108.41","1,386.70","95.00",51967449,"5,633,985,537.85",199963
"08-Mar-2023","EQ","105.30","106.90","104.00","105.65","106.40","106.50","106.10","1,386.70","95.00",43939583,"4,661,890,631.85",176234
"06-Mar-2023","EQ","107.50","107.60","105.00","107.00","105.85","105.65","106.04","1,386.70","95.00",106868143,"11,331,946,650.00",235575
"03-Mar-2023","EQ","106.00","107.45","105.00","104.65","107.45","107.00","105.92","1,386.70","95.00",117175295,"12,410,956,853.75",212882
"02-Mar-2023","EQ","106.05","106.90","104.35","105.50","104.85","104.65","105.14","1,386.70","95.00",55276248,"5,811,826,485.25",200155
"01-Mar-2023","EQ","104.70","107.10","104.50","103.95","105.70","105.50","105.57","1,386.70","95.00",76175319,"8,041,859,455.85",212265
"28-Feb-2023","EQ","106.85","107.05","103.55","106.10","104.10","103.95","104.68","1,386.70","95.00",76540448,"8,012,243,048.10",273452
