"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"28-Mar-2023","EQ","363.00","364.05","355.40","361.25","356.45","356.20","359.09","609.50","355.40",3906548,"1,402,802,078.95",87065
"27-Mar-2023","EQ","361.75","364.00","359.20","361.75","361.85","361.25","362.18","609.50","359.20",3113857,"1,127,764,447.65",76735
"24-Mar-2023","EQ","363.35","366.85","361.00","361.50","361.25","361.75","363.05","616.00","360.35",3953348,"1,435,266,060.25",63616
"23-Mar-2023","EQ","364.90","364.90","360.35","366.40","361.95","361.50","362.53","616.00","360.35",4742596,"1,719,318,460.55",85194
"22-Mar-2023","EQ","367.85","370.00","365.85","366.40","366.80","366.40","367.34","616.00","365.15",2687423,"987,191,547.95",51397
"21-Mar-2023","EQ","369.00","370.25","365.45","367.15","366.85","366.40","367.16","616.00","365.15",3605576,"1,323,839,929.60",79289
"20-Mar-2023","EQ","375.00","375.95","365.15","376.50","368.35","367.15","368.88","616.00","365.15",4092377,"1,509,596,298.65",136105
"17-Mar-2023","EQ","377.20","378.35","373.85","372.85","376.85","376.50","376.09","616.00","370.00",4522141,"1,700,715,973.70",61933
"16-Mar-2023","EQ","375.35","376.70","370.00","375.75","373.80","372.85","373.04","616.00","370.00",3843310,"1,433,719,430.75",97120
"15-Mar-2023","EQ","383.70","383.70","374.90","379.45","376.15","375.75","378.15","616.00","372.40",3843963,"1,453,576,358.80",115802
"14-Mar-2023","EQ","386.55","387.15","377.35","385.45","380.00","379.45","380.76","616.00","372.40",4047426,"1,541,079,717.20",86623
"13-Mar-2023","EQ","389.00","392.60","383.75","389.10","386.25","385.45","387.36","616.00","372.40",2991260,"1,158,697,667.20",65594
"10-Mar-2023","EQ","387.90","389.90","386.60","390.10","389.90","389.10","388.45","616.00","372.40",2283698,"887,113,392.40",52373
"09-Mar-2023","EQ","392.80","393.85","389.60","392.60","390.30","390.10","391.27","616.00","372.40",2078527,"813,257,570.20",49228
"08-Mar-2023","EQ","391.65","393.00","388.85","393.75","392.55","392.60","391.48","616.00","372.40",2454421,"960,864,458.15",54654
"06-Mar-2023","EQ","392.45","396.65","392.10","390.45","393.30","393.75","394.90","616.00","372.40",3363861,"1,328,399,751.75",49290
"03-Mar-2023","EQ","390.60","391.45","389.10","388.05","390.50","390.45","390.42","616.00","372.40",2196968,"857,730,782.30",46017
"02-Mar-2023","EQ","388.70","390.35","387.30","390.95","388.00","388.05","388.48","616.00","372.40",2219486,"862,227,724.55",51060
"01-Mar-2023","EQ","388.10","391.75","387.30","387.05","391.60","390.95","389.97","616.00","372.40",2271306,"885,735,291.55",51483
"28-Feb-2023","EQ","391.85","393.20","385.70","390.35","387.30","387.05","388.27","616.00","372.40",5030801,"1,953,291,563.15",84329
"27-Feb-2023","EQ","392.75","393.30","385.45","393.30","390.90","390.35","388.41","616.00","372.40",2777355,"1,078,741,985.75",60867
"24-Feb-2023","EQ","395.95","396.50","392.55","393.95","394.00","393.30","394.45","616.00","372.40",2553317,"1,007,153,250.45",49402
"23-Feb-2023","EQ","395.80","398.70","393.40","395.15","395.00","393.95","395.59","616.00","372.40",3039161,"1,202,271,830.75",61973
"22-Feb-2023","EQ","399.50","400.35","394.45","402.75","394.50","395.15","396.75","616.00","372.40",3441686,"1,365,483,106.40",90378
"21-Feb-2023","EQ","407.40","408.00","402.10","407.05","402.65","402.75","404.02","616.00","372.40",2880586,"1,163,824,387.50",75015
"20-Feb-2023","EQ","405.30","407.80","402.20","406.30","407.00","407.05","405.94","616.00","372.40",3248594,"1,318,749,737.35",52559
"17-Feb-2023","EQ","406.85","408.00","404.00","409.90","405.90","406.30","405.54","616.00","372.40",2808122,"1,138,794,386.70",48626
